S.NO,STATE/UT,TOTAL CASES,DISCHARGED,DEAD
1,Andaman and Nicobar Islands,33,33,0
2,Andhra Pradesh,2407,1456,50
3,Arunachal Pradesh,1,1,0
4,Assam,101,41,2
5,Bihar,1262,475,8
6,Chandigarh,191,51,3
7,Chhattisgarh,86,59,0
8,Dadar Nagar Haveli,1,0,0
9,Delhi,10054,4485,160
10,Goa,29,7,0
11,Gujarat,11379,4499,659
12,Haryana,910,562,14
13,Himachal Pradesh,80,44,3
14,Jammu and Kashmir,1183,575,13
15,Jharkhand,223,113,3
16,Karnataka,1147,509,37
17,Kerala,601,497,4
18,Ladakh,43,24,0
19,Madhya Pradesh,4977,2403,248
20,Maharashtra,33053,7688,1198
21,Manipur,7,2,0
22,Meghalaya,13,11,1
23,Mizoram,1,1,0
24,Odisha,828,220,4
25,Puducherry,13,9,1
26,Punjab,1964,1366,35
27,Rajasthan,5202,2992,131
28,Tamil Nadu,11224,4172,78
29,Telengana,1551,992,34
30,Tripura,167,85,0
31,Uttarakhand,92,52,1
32,Uttar Pradesh,4259,2441,104
33,West Bengal,2677,959,238
,Cases being reassigned to states,410,,
