S.NO,STATE/UT,TOTAL CASES,DISCHARGED,DEAD
1,Andaman and Nicobar Islands,33,17,0
2,Andhra Pradesh,1583,488,33
3,Arunachal Pradesh,1,1,0
4,Assam,43,32,1
5,Bihar,482,117,4
6,Chandigarh,94,19,0
7,Chhattisgarh,43,36,0
8,Delhi,4122,1256,64
9,Goa,7,7,0
10,Gujarat,5055,896,262
11,Haryana,394,227,4
12,Himachal Pradesh,40,33,1
13,Jammu and Kashmir,666,254,8
14,Jharkhand,115,22,3
15,Karnataka,606,282,25
16,Kerala,500,400,4
17,Ladakh,40,17,0
18,Madhya Pradesh,2846,798,156
19,Maharashtra,12296,2000,521
20,Manipur,2,2,0
21,Meghalaya,12,0,1
22,Mizoram,1,0,0
23,Odisha,160,56,1
24,Puducherry,8,5,0
25,Punjab,772,112,20
26,Rajasthan,2772,1121,65
27,Tamil Nadu,2757,1341,29
28,Telengana,1063,458,28
29,Tripura,4,2,0
30,Uttarakhand,59,39,0
31,Uttar Pradesh,2626,698,43
32,West Bengal,922,151,33
