S.NO,STATE/UT,TOTAL CASES,DISCHARGED,DEAD
1,Andaman and Nicobar Islands,18,11,0
2,Andhra Pradesh,895,141,27
3,Arunachal Pradesh,1,1,0
4,Assam,35,19,1
5,Bihar,148,46,2
6,Chandigarh,27,14,0
7,Chhattisgarh,36,28,0
8,Delhi,2248,724,48
9,Goa,7,7,0
10,Gujarat,2407,179,103
11,Haryana,262,140,3
12,Himachal Pradesh,40,18,1
13,Jammu and Kashmir,407,92,5
14,Jharkhand,49,8,3
15,Karnataka,443,141,17
16,Kerala,438,324,3
17,Ladakh,18,14,0
18,Madhya Pradesh,1695,148,81
19,Maharashtra,5652,789,269
20,Manipur,2,2,0
21,Meghalaya,12,0,1
22,Mizoram,1,0,0
23,Odisha,83,32,1
24,Puducherry,7,3,0
25,Punjab,277,65,16
26,Rajasthan,1890,230,27
27,Tamil Nadu,1629,662,18
28,Telengana,960,197,24
29,Tripura,2,1,0
30,Uttarakhand,46,23,0
31,Uttar Pradesh,1509,187,21
32,West Bengal,456,79,15
